Point ID,Easting,Northing,Description
1,445704.946,1680201.32,bndry
2,445770.51,1679820.109,bndry
3,445773.804,1679800.955,bndry
4,445778.043,1679776.312,bndry
5,445817.935,1679780.358,bndry
6,445821.511,1679781.049,bndry
7,445823.573,1679781.707,bndry
8,445872.419,1679787.407,bndry
9,445883.162,1679788.661,bndry
10,445925.624,1679792.865,bndry
11,445999.872,1679800.221,bndry
12,446011.036,1679804.285,bndry
13,446081.369,1679877.425,bndry
14,446177.529,1680006.454,bndry
15,446187.316,1680019.586,bndry
16,446197.313,1680019.335,bndry
17,446204.456,1680008.675,bndry
18,446209.37,1680002.363,bndry
19,446214.589,1679996.301,bndry
20,446220.063,1679990.468,bndry
21,446225.976,1679985.347,bndry
22,446232.701,1679981.211,bndry
23,446239.791,1679977.709,bndry
24,446246.625,1679973.732,bndry
25,446253.238,1679969.395,bndry
26,446259.542,1679964.623,bndry
27,446265.314,1679959.227,bndry
28,446270.542,1679953.295,bndry
29,446275.468,1679947.454,bndry
30,446279.56,1679941.001,bndry
31,446282.934,1679934.143,bndry
32,446286.4,1679927.333,bndry
33,446291.059,1679921.291,bndry
34,446296.46,1679915.88,bndry
35,446300.664,1679911.88,bndry
36,446305.968,1679906.922,bndry
37,446315.792,1679897.836,bndry
38,446314.585,1679891.842,bndry
39,446125.877,1679688.672,bndry
40,446079.986,1679641.168,bndry
41,446059.623,1679626.308,bndry
42,446029.139,1679611.263,bndry
43,445991.844,1679602.037,bndry
44,445935.849,1679603.347,bndry
45,445919.12,1679607.652,bndry
46,445889.401,1679619.465,bndry
47,445871.189,1679630.221,bndry
48,445839.366,1679653.449,bndry
49,445815.763,1679671.63,bndry
50,445804.501,1679678.333,bndry
51,445783.676,1679643.34,bndry
52,445758.321,1679626.622,bndry
53,445740.465,1679584.84,bndry
54,445739.439,1679579.406,bndry
55,445730.439,1679544.201,bndry
56,445728.345,1679522.764,bndry
57,445749.514,1679504.979,bndry
58,445800.842,1679497.927,bndry
59,445845.262,1679474.487,bndry
60,445870.642,1679448.909,bndry
61,445883.876,1679424.896,bndry
62,445893.756,1679401.862,bndry
63,445801.431,1679324.848,bndry
64,445688.676,1679218.92,bndry
65,445686.098,1679209.261,bndry
66,445647.654,1679065.214,bndry
67,445520.76,1679025.395,bndry
68,445423.104,1678960.945,bndry
69,445383.161,1678908.405,bndry
70,445334.494,1678809.724,bndry
71,445192.666,1678862.562,bndry
72,445226.574,1679011.59,bndry
73,445075.479,1679164.693,bndry
74,444925.343,1679137.353,bndry
75,444717.238,1679111.859,bndry
76,444550.252,1679084.158,bndry
77,444483.417,1679123.854,bndry
78,444592.57,1679197.295,bndry
79,444709.214,1679307.941,bndry
80,444803.115,1679398.576,bndry
81,444924.268,1679504.293,bndry
82,445021.236,1679614.593,bndry
83,445090.625,1679711.829,bndry
84,445145.767,1679834.917,bndry
85,445188.572,1680086.985,bndry
86,445158.982,1680160.043,bndry
87,445431.964,1680180.682,bndry
88,445925.624,1679792.865,ap
89,445935.707,1679700.021,ap
90,445835.292,1679688.495,ap
91,445830,1679687.503,ap
92,445824.577,1679685.506,ap
93,445822.632,1679683.527,ap
94,445802.284,1679704.284,ap
95,445804.3,1679707.145,ap
96,445806.102,1679710.08,ap
97,445808.13,1679714.276,ap
98,445809.497,1679717.928,ap
99,445810.073,1679720.046,ap
100,445810.51,1679722.025,ap
101,445817.414,1679753.458,ap
