POINT ID,EASTING,NORTHING,ELEVATION,DESCRIPTION
501,445134.0228,1679808.617,252.826,GP
502,445131.4263,1679802.906,252.87,GP
503,445129.163,1679797.703,252.852,GP
504,445126.7841,1679792.543,252.8,GP
505,445124.446,1679787.324,252.79,GP
506,445122.1764,1679782.258,252.82,GP
507,445119.4901,1679776.262,252.94,GP
508,445151.602,1679761.984,260.084,GP
509,445143.003,1679765.856,260.061,GP
510,445135.018,1679769.451,260.097,GP
511,445121.025,1679779.201,252.901,GP
512,445140.587,1679758.548,260.078,GP
513,445134.747,1679759.001,260.154,GP
514,445086.0551,1679822.38,240.794,GP
515,445077.5366,1679807.805,241.277,GP
516,445081.793,1679816.903,241.147,GP
517,445061.4362,1679780.353,241.817,GP
518,445078.2862,1679796.944,241.387,GP
519,445091.0885,1679830.54,240.827,GP
520,445006.7172,1679719.064,243.207,GP
521,445050.5346,1679766.317,242.077,GP
522,445044.2759,1679756.693,242.367,GP
523,445023.4279,1679737.578,242.877,GP
524,445036.9027,1679718.504,247.355,GP
525,445140.9438,1679814.543,252.911,GP
526,445152.4154,1679840.089,251.801,GP
527,445133.2749,1679725.243,256.647,GP
528,445134.672,1679720.949,258.087,GP
529,445119.7165,1679772.219,253.228,GP
530,445160.009,1679860.867,251.571,GP
531,445164.3153,1679874.34,250.891,GP
532,445071.4331,1679729.875,254.597,GP
533,445151.0792,1679820.208,252.558,GP
534,445126.6787,1679855.395,251.968,GP
535,445137.1485,1679838.002,251.888,GP
536,445108.609,1679833.251,253.018,GP
537,445113.2087,1679848.432,252.408,GP
538,445120.4723,1679883.951,251.178,GP
539,445146.9737,1679875.724,250.8,GP
540,445118.2467,1679895.56,250.688,GP
541,445164.1565,1679859.439,251.808,GP
542,445163.635,1679837.123,252.188,GP
543,445143.908,1679856.212,251.7,GP
544,445123.916,1679868.579,251.698,GP
545,445108.6756,1679792.107,252.198,GP
546,445101.4018,1679787.774,252.338,GP
547,445107.113,1679764.613,252.958,GP
548,445111.5058,1679770.977,253.358,GP
549,445120.3226,1679796.141,252.678,GP
550,445103.2845,1679759.669,252.538,GP
551,445101.8171,1679823.825,253.138,GP
552,445091.0191,1679782.913,251.848,GP
553,445117.2892,1679822.013,252.988,GP
554,445129.7954,1679822.298,252.308,GP
555,445084.5854,1679714.091,257.4,GP
556,445093.7661,1679712.245,259.647,GP
557,445089.2608,1679732.394,253.767,GP
558,445087.6885,1679731.941,253.867,GP
559,445110.2412,1679725.942,256.577,GP
560,445115.6238,1679729.744,255.357,GP
561,445164.5627,1679878.732,251.078,GP
562,445160.8054,1679896.019,250.503,GP
563,445159.1363,1679714.124,261.967,GP
564,445143.5644,1679713.623,260.737,GP
565,445153.5133,1679716.207,261.137,GP
566,445131.5322,1679764.181,258.821,GP
567,445154.212,1679746.84,260.751,GP
568,445161.751,1679758.069,260.493,GP
569,445144.42,1679762.669,260.232,GP
570,445163.915,1679727.138,254.008,GP
571,445156.306,1679732.106,253.741,GP
572,445119.931,1679739.213,252.635,GP
573,445104.06,1679729.898,255.336,GP
574,445111.334,1679728.486,255.535,GP
575,445116.506,1679728.382,255.907,GP
576,445120.954,1679724.466,256.767,GP
